#idx     perf      run   period           start             end          rel_st      slack c_duration   c_period     wu_lat   cpu       freq dl_runtime  dl_period dl_deadline
   6     3842   471119  1587182     98507036876     98508624058        26991174   -4877213     353479     940000          0     7    1100000  372084000  940000000  940000000
   6     3842   474159   541810     98508624069     98509165879        28578367   -4479034     353479     940000          0     6    1100000  372084000  940000000  940000000
   6     3842   490066 21480842     98509165892     98530646734        29120190  -25019889     353479     940000          0     4    1000000  372084000  940000000  940000000
   6     3842   454569   916537     98530646745     98531563283        50601044  -24996438     353479     940000          0     6    1100000  372084000  940000000  940000000
   6     3842   454601  1303432     98531563293     98532866725        51517592  -25359881     353479     940000          0     7    1100000  372084000  940000000  940000000
   6     3842   486151  1194036     98532866737     98534060773        52821035  -25613928     353479     940000          0     5    1100000  372084000  940000000  940000000
   6     3842   471672  1270981     98534060785     98535331766        54015083  -25944921     353479     940000          0     5    1000000  372084000  940000000  940000000
   6     3842   419879   947692     98535331777     98536279469        55286075  -25952624     353479     940000          0     5    1100000  372084000  940000000  940000000
   6     3842   454621  1233743     98536279480     98537513223        56233778  -26246378     353479     940000          0     6    1100000  372084000  940000000  940000000
   6     3842   476973   836397     98537513234     98538349630        57467532  -26142786     353479     940000          0     4    1100000  372084000  940000000  940000000
   6     3842   500028  1924918     98538349642     98540274560        58303941  -27127715     353479     940000          0     4    1000000  372084000  940000000  940000000
   6     3842   499978   896246     98540274572     98541170818        60228870  -27083973     353479     940000          0     6    1000000  372084000  940000000  940000000
   6     3842   500075  1061604     98541170830     98542232434        61125128  -27205589     353479     940000          0     6    1000000  372084000  940000000  940000000
   6     3842   500107  1617518     98542232447     98543849964        62186745  -27883120     353479     940000          0     6    1000000  372084000  940000000  940000000
   6     3842   500125  1156565     98543849977     98545006542        63804275  -28099697     353479     940000          0     6    1000000  372084000  940000000  940000000
   6     3842   500078  1108148     98545006554     98546114702        64960852  -28267857     353479     940000          0     6    1000000  372084000  940000000  940000000
   6     3842   500089  1330868     98546114714     98547445581        66069012  -28658737     353479     940000          0     6    1000000  372084000  940000000  940000000
   6     3842   500055  1201161     98547445593     98548646754        67399892  -28919909     353479     940000          0     5    1000000  372084000  940000000  940000000
   6     3842   500042  1337238     98548646766     98549984004        68601065  -29317159     353479     940000          0     5    1000000  372084000  940000000  940000000
   6     3842   500041  1292702     98549984057     98551276760        69938355  -29669915     353479     940000          0     5    1000000  372084000  940000000  940000000
   6     3842   499984  1159278     98551276771     98552436050        71231070  -29889205     353479     940000          0     7    1000000  372084000  940000000  940000000
   6     3842   500159  1320454     98552436061     98553756516        72390360  -30269671     353479     940000          0     5    1000000  372084000  940000000  940000000
   6     3842   500085  1271151     98553756528     98555027679        73710826  -30600834     353479     940000          0     5    1000000  372084000  940000000  940000000
   6     3842   500083  1186273     98555027691     98556213964        74981990  -30847119     353479     940000          0     7    1000000  372084000  940000000  940000000
   6     3842   500081  1525251     98556214021     98557739272        76168319  -31432427     353479     940000          0     7    1000000  372084000  940000000  940000000
   6     3842   500109  1288767     98557739284     98559028051        77693582  -31781163     353479     940000          0     7    1000000  372084000  940000000  940000000
   6     3842   500138  1118583     98559028063     98560146646        78982362  -31959801     353479     940000          0     5    1000000  372084000  940000000  940000000
   6     3842   500056  1169878     98560146658     98561316536        80100956  -32189691     353479     940000          0     5    1000000  372084000  940000000  940000000
   6     3842   500036  1143191     98561316547     98562459739        81270846  -32392894     353479     940000          0     5    1000000  372084000  940000000  940000000
   6     3842   500067  1210169     98562459751     98563669920        82414049  -32663075     353479     940000          0     7    1000000  372084000  940000000  940000000
   6     3842   500099  1522399     98563669932     98565192331        83624230  -33245486     353479     940000          0     5    1000000  372084000  940000000  940000000
   6     3842   500087  1349894     98565192343     98566542238        85146642  -33655393     353479     940000          0     6    1000000  372084000  940000000  940000000
   6     3842   500035   985293     98566542249     98567527543        86496548  -33700698     353479     940000          0     7    1000000  372084000  940000000  940000000
   6     3842   474386  1446461     98567527555     98568974015        87481853  -34207171     353479     940000          0     7    1000000  372084000  940000000  940000000
