#idx     perf      run   period           start             end          rel_st      slack c_duration   c_period     wu_lat   cpu       freq dl_runtime  dl_period dl_deadline
   6     3842   381940  1106066     98481321285     98482427351         1275583    -300507     353479     940000          0     5    1400000  372084000  940000000  940000000
   6     3842   416668   776505     98482427361     98483203866         2381660    -137022     353479     940000          0     4    1200000  372084000  940000000  940000000
   6     3842   421747  1171741     98483203877     98484375618         3158175    -368774     353479     940000          0     4    1200000  372084000  940000000  940000000
   6     3842   421771   837141     98484375628     98485212769         4329927    -265925     353479     940000          0     4    1200000  372084000  940000000  940000000
   6     3842   434554  1223279     98485212780     98486436060         5167079    -549215     353479     940000          0     4    1200000  372084000  940000000  940000000
   6     3842   425953  1079027     98486436071     98487515098         6390369    -688253     353479     940000          0     4    1100000  372084000  940000000  940000000
   6     3842   424324   971302     98487515108     98488486410         7469406    -719566     353479     940000          0     6    1200000  372084000  940000000  940000000
   6     3842   442865  1250012     98488486421     98489736433         8440720   -1029589     353479     940000          0     6    1100000  372084000  940000000  940000000
   6     3842   425545  1099030     98489736444     98490835474         9690742   -1188630     353479     940000          0     7    1100000  372084000  940000000  940000000
   6     3842   448426  1346757     98490835485     98492182242        10789783   -1595397     353479     940000          0     4    1200000  372084000  940000000  940000000
   6     3842   443684   960942     98492182253     98493143195        12136551   -1616351     353479     940000          0     4    1100000  372084000  940000000  940000000
   6     3842   434866  1079554     98493143206     98494222760        13097504   -1755915     353479     940000          0     5    1100000  372084000  940000000  940000000
   6     3842   433642   964279     98494222770     98495187049        14177068   -1780204     353479     940000          0     4    1200000  372084000  940000000  940000000
   6     3842   429171  1146997     98495187059     98496334057        15141358   -1987212     353479     940000          0     4    1100000  372084000  940000000  940000000
   6     3842   447476  1333900     98496334067     98497667968        16288365   -2381123     353479     940000          0     6    1200000  372084000  940000000  940000000
   6     3842   473637   872523     98497667979     98498540502        17622277   -2313658     353479     940000          0     4    1100000  372084000  940000000  940000000
   6     3842   461645  1328223     98498540514     98499868737        18494812   -2701892     353479     940000          0     6    1000000  372084000  940000000  940000000
   6     3842   477602  1444638     98499868748     98501313386        19823046   -3206542     353479     940000          0     6    1100000  372084000  940000000  940000000
   6     3842   477883  1042480     98501313397     98502355877        21267696   -3309033     353479     940000          0     7    1100000  372084000  940000000  940000000
   6     3842   467579  1083088     98502355888     98503438976        22310186   -3452132     353479     940000          0     7    1100000  372084000  940000000  940000000
   6     3842   464601  1098144     98503438988     98504537132        23393286   -3610287     353479     940000          0     7    1100000  372084000  940000000  940000000
   6     3842   460239  1371641     98504537143     98505908784        24491441   -4041939     353479     940000          0     4    1100000  372084000  940000000  940000000
   6     3842   469902  1128026     98505908797     98507036822        25863095   -4229978     353479     940000          0     5    1000000  372084000  940000000  940000000
