#idx     perf      run   period           start             end          rel_st      slack c_duration   c_period     wu_lat   cpu       freq dl_runtime  dl_period dl_deadline
   3    11264  1046950  1056992     10871829226     10872886218          966175     -88742    1036356    1190000          0     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046835  1101303     10872886229     10873987531         2023177      43411    1036356    1190000         54     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046919  1189986     10873987541     10875177527         3124490     132700    1036356    1190000         50     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046879  1190001     10875177536     10876367538         4314485     132917    1036356    1190000         61     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046884  1189979     10876367547     10877557526         5504496     132625    1036356    1190000         49     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046908  1189995     10877557536     10878747531         6694484     133107    1036356    1190000         54     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046883  1189984     10878747541     10879937525         7884489     132647    1036356    1190000         48     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046927  1190002     10879937534     10881127536         9074483     133479    1036356    1190000         59     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046853  1189981     10881127546     10882317527        10264494     132504    1036356    1190000         49     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046931  1189993     10882317536     10883507529        11454484     133450    1036356    1190000         52     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046877  1189987     10883507539     10884697526        12644487     132801    1036356    1190000         49     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046921  1190001     10884697535     10885887537        13834484     133015    1036356    1190000         60     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046874  1189980     10885887546     10887077526        15024495     132782    1036356    1190000         49     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046905  1189998     10887077535     10888267533        16214484     133127    1036356    1190000         56     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046880  1189983     10888267543     10889457526        17404492     132684    1036356    1190000         49     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046829  1189978     10889457535     10890647513        18594484     132475    1036356    1190000         36     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046857  1190003     10890647523     10891837526        19784471     132553    1036356    1190000         49     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046929  1189996     10891837536     10893027532        20974484     133562    1036356    1190000         55     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046941  1189984     10893027542     10894217526        22164490     133358    1036356    1190000         48     6    1400000 1090902000 1190000000 1190000000
   3    11264  1046841  1189995     10894217535     10895407530        23354483     132862    1036356    1190000         53     6    1400000 1090902000 1190000000 1190000000
