#idx     perf      run   period           start             end          rel_st      slack c_duration   c_period     wu_lat   cpu       freq dl_runtime  dl_period dl_deadline
   3    11060  1027810  1189993     37801925233     37803115227         1735361     153451    1017527    1190000         62     4    1400000 1071082000 1190000000 1190000000
   3    11060  1027972  1189997     37803115238     37804305235         2925365     153294    1017527    1190000         67     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027915  1189981     37804305245     37805495226         4115373     152748    1017527    1190000         79     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027986  1189999     37805495237     37806685235         5305364     153572    1017527    1190000         70     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027950  1189980     37806685246     37807875226         6495373     152957    1017527    1190000         79     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027976  1190006     37807875236     37809065242         7685363     153012    1017527    1190000         95     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027933  1189975     37809065252     37810255227         8875380     152982    1017527    1190000         61     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027934  1189983     37810255237     37811445219        10065364     152504    1017527    1190000         72     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027906  1189953     37811445254     37812635207        11255382     152568    1017527    1190000         60     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027920  1189996     37812635237     37813825233        12445365     152908    1017527    1190000         66     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027934  1189980     37813825245     37815015225        13635372     152749    1017527    1190000         78     4    1300000 1071082000 1190000000 1190000000
   3    11060  1029335  1189998     37815015235     37816205233        14825363     143514    1017527    1190000         85     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027958  1189988     37816205243     37817395231        16015371     153386    1017527    1190000         65     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027955  1190001     37817395243     37818585244        17205371     153079    1017527    1190000         78     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027948  1189975     37818585255     37819775230        18395383     152934    1017527    1190000         66     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027944  1189995     37819775241     37820965236        19585368     152711    1017527    1190000         70     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027909  1189988     37820965246     37822155234        20775374     153008    1017527    1190000         70     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027936  1189985     37822155244     37823345229        21965372     152688    1017527    1190000         82     4    1300000 1071082000 1190000000 1190000000
   3    11060  1028038  1189951     37823345258     37824535209        23155385     153314    1017527    1190000         62     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027928  1189997     37824535236     37825725233        24345364     152506    1017527    1190000         67     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027964  1189984     37825725243     37826915227        25535371     153630    1017527    1190000         80     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027971  1190000     37826915237     37828105237        26725365     153207    1017527    1190000         71     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027975  1189982     37828105247     37829295228        27915374     153076    1017527    1190000         63     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027956  1189951     37829295279     37830485230        29105407     153272    1017527    1190000         65     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027913  1189989     37830485240     37831675229        30295368     152795    1017527    1190000         82     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027935  1190005     37831675239     37832865244        31485367     152719    1017527    1190000         77     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027942  1189974     37832865254     37834055228        32675382     152540    1017527    1190000         81     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027898  1189980     37834055238     37835245219        33865366     152861    1017527    1190000         72     4    1300000 1071082000 1190000000 1190000000
   3    11060  1028036  1189965     37835245248     37836435213        35055376     153393    1017527    1190000         66     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027978  1189996     37836435245     37837625240        36245372     152660    1017527    1190000         75     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027979  1189977     37837625250     37838815227        37435378     153348    1017527    1190000         80     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027902  1190004     37838815237     37840005241        38625365     153079    1017527    1190000         94     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027961  1189974     37840005251     37841195226        39815379     153074    1017527    1190000         61     4    1300000 1071082000 1190000000 1190000000
   3    11060  1027954  1190004     37841195236     37842385240        41005364     152934    1017527    1190000         93     4    1300000 1071082000 1190000000 1190000000
