num_tasks	util	tset_idx	freq	count	misses	miss_ratio	minslack	maxslack	migrations
6	1.0	0	0	1489	0	0.0	74933	876446	0
6	1.0	1	0	1245	0	0.0	60552	1088585	0
6	1.0	2	0	1636	0	0.0	77047	584623	0
6	1.0	3	0	1526	0	0.0	89492	800985	0
6	1.0	4	0	1045	0	0.0	126728	637701	0
6	1.0	5	0	1038	0	0.0	103601	1151581	0
6	1.0	6	0	1348	0	0.0	84043	647864	0
6	1.0	7	0	1521	0	0.0	94878	812313	0
6	1.0	8	0	965	0	0.0	139583	893148	0
6	1.0	9	0	1829	0	0.0	106086	404837	0
6	1.15	0	0	1489	0	0.0	68614	871143	0
6	1.15	1	0	1245	0	0.0	86131	786291	0
6	1.15	2	0	1636	0	0.0	73013	573300	0
6	1.15	3	0	1526	0	0.0	106537	797850	0
6	1.15	4	0	1045	0	0.0	129704	634103	0
6	1.15	5	0	1038	0	0.0	114685	1145863	0
6	1.15	6	0	1348	0	0.0	80206	644281	0
6	1.15	7	0	1521	0	0.0	89202	794663	0
6	1.15	8	0	965	0	0.0	137725	888834	0
6	1.15	9	0	1829	0	0.0	101079	393553	0
6	1.3	0	0	1489	0	0.0	41970	866065	0
6	1.3	1	0	1245	0	0.0	81993	732894	0
6	1.3	2	0	1636	0	0.0	63547	562012	0
6	1.3	3	0	1526	0	0.0	50684	794703	0
6	1.3	4	0	1045	0	0.0	128959	630467	0
6	1.3	5	0	1038	0	0.0	105552	1140125	0
6	1.3	6	0	1348	0	0.0	107988	640668	0
6	1.3	7	0	1521	0	0.0	83383	777029	0
6	1.3	8	0	965	0	0.0	135930	884527	0
6	1.3	9	0	1311	0	0.0	96433	407676	0
6	1.45	0	0	1489	0	0.0	66567	861037	0
6	1.45	1	0	1245	0	0.0	76216	679746	0
6	1.45	2	0	1636	0	0.0	60196	550687	0
6	1.45	3	0	1527	0	0.0	48745	791569	0
6	1.45	4	0	1045	0	0.0	120359	626825	0
6	1.45	5	0	1038	0	0.0	96599	1134353	0
6	1.45	6	0	1348	0	0.0	88850	637044	0
6	1.45	7	0	1522	0	0.0	77620	759472	0
6	1.45	8	0	965	0	0.0	134108	880246	0
6	1.45	9	0	1312	0	0.0	95791	407188	0
6	1.6	0	0	1489	0	0.0	58919	855921	0
6	1.6	1	0	1245	0	0.0	70373	626342	0
6	1.6	2	0	1636	0	0.0	60400	539368	0
6	1.6	3	0	1526	0	0.0	46893	788436	0
6	1.6	4	0	1045	0	0.0	115037	623192	0
6	1.6	5	0	1038	0	0.0	88008	1128585	0
6	1.6	6	0	1348	0	0.0	77708	633458	0
