#idx     perf      run   period           start             end          rel_st      slack c_duration   c_period     wu_lat   cpu       freq dl_runtime  dl_period dl_deadline
   3    11019  1024110  1189960     13800263127     13801453086          742183      84229    1013762    1190000         49     6    1400000 1067118000 1190000000 1190000000
   3    11019  1023959  1226404     13801453096     13802679500         1932153     -36465    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023935  1188281     13802679510     13803867791         3158567     -34755    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023934  1155283     13803867801     13805023084         4346857     122315    1013762    1190000         46     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023981  1189986     13805023093     13806213079         5502149      85179    1013762    1190000         42     5    1400000 1067118000 1190000000 1190000000
   3    11019  1024153  1190002     13806213088     13807403089         6692144     156590    1013762    1190000         52     5    1400000 1067118000 1190000000 1190000000
   3    11019  1023937  1804952     13807403099     13809208050         7882155     157826    1013762    1190000     615013     5    1400000 1067118000 1190000000 1190000000
   3    11019  1023948  1033318     13809208059     13810241378         9687116    -458342    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023932  1032943     13810241387     13811274329        10720443    -301294    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023958  1459200     13811274338     13812733538        11753395    -570502    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023944  1033050     13812733547     13813766596        13212604    -413561    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023932  1032919     13813766605     13814799524        14245662    -256489    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1025088  1081917     13814799533     13815881450        15278590    -148414    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023839  1041613     13815881459     13816923072        16360516       7932    1013762    1190000         35     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023925  1032670     13817284861     13818317531        17763918    -204495    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023950  1033250     13818317540     13819350789        18796597     -47754    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023936  1142288     13819350798     13820493086        19829855      25869    1013762    1190000         49     4    1400000 1067118000 1190000000 1190000000
   3    11019  1024093  1190004     13820493095     13821683099        20972152     152793    1013762    1190000         62     4    1400000 1067118000 1190000000 1190000000
   3    11019  1024105  1189977     13821683109     13822873086        22162165     156938    1013762    1190000         49     6    1400000 1067118000 1190000000 1190000000
   3    11019  1023917  1189982     13822873095     13824063077        23352152       1932    1013762    1190000         40     6    1400000 1067118000 1190000000 1190000000
   3    11019  1024019  1303685     13824063087     13825366771        24542143     102591    1013762    1190000     113735     6    1400000 1067118000 1190000000 1190000000
   3    11019  1024019  1332932     13825366780     13826699712        25845837    -256677    1013762    1190000          0     6    1400000 1067118000 1190000000 1190000000
   3    11019  1023932  1032784     13826699722     13827732506        27178779     -99470    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023946  1292279     13827732553     13829024833        28211610    -201797    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023935  1032975     13829024842     13830057817        29503898     -44781    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023923  1145280     13830057826     13831203106        30536882     112646    1013762    1190000         68     4    1400000 1067118000 1190000000 1190000000
   3    11019  1023977  1266429     13831203115     13832469544        31682172     -76508    1013762    1190000          0     4    1400000 1067118000 1190000000 1190000000
