num_tasks	util	tset_idx	idx	filename	perf	c_duration	c_period	dl_runtime	dl_period	dl_deadline	cpu	freq	count	misses	miss_ratio	minslack	maxslack	migrations	tot_duration
6	1.0	4	4	out-results/global/performance/ts_n06_i04_u1.0000.rt-app.d/rt-app-task04-4.log	458	42152	170000	44371	170000	170000	7	1.4	347	0	0.0	126801	127043	0	58989971
6	1.0	4	5	out-results/global/performance/ts_n06_i04_u1.0000.rt-app.d/rt-app-task05-5.log	1892	174135	490000	183300	490000	490000	6	1.4	120	0	0.0	312465	312805	0	58799980
6	1.0	5	0	out-results/global/performance/ts_n06_i05_u1.0000.rt-app.d/rt-app-task00-0.log	1403	129166	1080000	135965	1080000	1080000	7	1.4	54	0	0.0	913034	948637	26	58312709
6	1.0	5	1	out-results/global/performance/ts_n06_i05_u1.0000.rt-app.d/rt-app-task01-1.log	3041	279837	690000	294566	690000	690000	6	1.4	85	0	0.0	404792	405249	0	58649959
6	1.0	5	2	out-results/global/performance/ts_n06_i05_u1.0000.rt-app.d/rt-app-task02-2.log	349	32178	290000	34178	290000	290000	4	1.4	203	0	0.0	252155	257171	0	58869965
6	1.0	5	3	out-results/global/performance/ts_n06_i05_u1.0000.rt-app.d/rt-app-task03-3.log	409	37639	1190000	39639	1190000	1190000	6	1.4	49	0	0.0	866429	1151611	9	58309804
6	1.0	5	4	out-results/global/performance/ts_n06_i05_u1.0000.rt-app.d/rt-app-task04-4.log	75	6949	260000	8949	260000	260000	7	1.4	226	0	0.0	252678	252833	0	58759941
6	1.0	5	5	out-results/global/performance/ts_n06_i05_u1.0000.rt-app.d/rt-app-task05-5.log	376	34626	140000	36626	140000	140000	5	1.4	421	0	0.0	104466	104709	0	58939969
6	1.0	6	0	out-results/global/performance/ts_n06_i06_u1.0000.rt-app.d/rt-app-task00-0.log	50	4648	150000	6648	150000	150000	5	1.4	393	0	0.0	145016	145144	0	58949978
6	1.0	6	1	out-results/global/performance/ts_n06_i06_u1.0000.rt-app.d/rt-app-task01-1.log	235	21649	670000	23649	670000	670000	7	1.4	88	0	0.0	620925	647882	18	58933145
6	1.0	6	2	out-results/global/performance/ts_n06_i06_u1.0000.rt-app.d/rt-app-task02-2.log	284	26135	410000	28135	410000	410000	7	1.4	143	0	0.0	383123	383331	0	58629952
6	1.0	6	3	out-results/global/performance/ts_n06_i06_u1.0000.rt-app.d/rt-app-task03-3.log	135	12465	150000	14465	150000	150000	4	1.4	393	0	0.0	137052	137193	0	58949958
6	1.0	6	4	out-results/global/performance/ts_n06_i06_u1.0000.rt-app.d/rt-app-task04-4.log	225	20736	520000	22736	520000	520000	6	1.4	113	0	0.0	312313	498805	31	58759969
6	1.0	6	5	out-results/global/performance/ts_n06_i06_u1.0000.rt-app.d/rt-app-task05-5.log	1983	182527	270000	192134	270000	270000	6	1.4	218	0	0.0	83541	84300	0	58859938
6	1.0	7	0	out-results/global/performance/ts_n06_i07_u1.0000.rt-app.d/rt-app-task00-0.log	284	26219	300000	28219	300000	300000	4	1.4	196	0	0.0	265066	273243	11	58799966
6	1.0	7	1	out-results/global/performance/ts_n06_i07_u1.0000.rt-app.d/rt-app-task01-1.log	262	24170	120000	26170	120000	120000	7	1.4	491	0	0.0	95113	95323	0	58919928
6	1.0	7	2	out-results/global/performance/ts_n06_i07_u1.0000.rt-app.d/rt-app-task02-2.log	43	3996	170000	5996	170000	170000	5	1.4	347	0	0.0	165620	165834	0	58989932
6	1.0	7	3	out-results/global/performance/ts_n06_i07_u1.0000.rt-app.d/rt-app-task03-3.log	725	66736	350000	70249	350000	350000	5	1.4	168	0	0.0	272338	282060	28	58795677
6	1.0	7	4	out-results/global/performance/ts_n06_i07_u1.0000.rt-app.d/rt-app-task04-4.log	1256	115586	930000	121670	930000	930000	5	1.4	63	0	0.0	739877	812348	23	58589953
6	1.0	7	5	out-results/global/performance/ts_n06_i07_u1.0000.rt-app.d/rt-app-task05-5.log	762	70148	230000	73840	230000	230000	6	1.4	256	0	0.0	158096	158586	0	58879952
6	1.0	8	0	out-results/global/performance/ts_n06_i08_u1.0000.rt-app.d/rt-app-task00-0.log	108	9945	150000	11945	150000	150000	7	1.4	393	0	0.0	139472	139784	0	58949960
6	1.0	8	1	out-results/global/performance/ts_n06_i08_u1.0000.rt-app.d/rt-app-task01-1.log	996	91654	560000	96478	560000	560000	4	1.4	105	0	0.0	439930	466757	26	58799825
6	1.0	8	2	out-results/global/performance/ts_n06_i08_u1.0000.rt-app.d/rt-app-task02-2.log	281	25932	480000	27932	480000	480000	4	1.4	122	0	0.0	452590	453472	3	58559967
6	1.0	8	3	out-results/global/performance/ts_n06_i08_u1.0000.rt-app.d/rt-app-task03-3.log	2624	241410	480000	254116	480000	480000	5	1.4	122	0	0.0	231651	234574	0	58559959
6	1.0	8	4	out-results/global/performance/ts_n06_i08_u1.0000.rt-app.d/rt-app-task04-4.log	285	26303	920000	28303	920000	920000	5	1.4	64	0	0.0	647322	893124	11	58634183
6	1.0	8	5	out-results/global/performance/ts_n06_i08_u1.0000.rt-app.d/rt-app-task05-5.log	495	45596	370000	47996	370000	370000	6	1.4	159	0	0.0	321950	323547	0	58829961
6	1.0	9	0	out-results/global/performance/ts_n06_i09_u1.0000.rt-app.d/rt-app-task00-0.log	133	12293	200000	14293	200000	200000	6	1.4	295	0	0.0	187119	187369	0	58999940
6	1.0	9	1	out-results/global/performance/ts_n06_i09_u1.0000.rt-app.d/rt-app-task01-1.log	802	73821	480000	77707	480000	480000	6	1.4	122	0	0.0	382003	404849	61	58559956
6	1.0	9	2	out-results/global/performance/ts_n06_i09_u1.0000.rt-app.d/rt-app-task02-2.log	154	14180	130000	16180	130000	130000	4	1.4	453	0	0.0	112958	115431	0	58889956
6	1.0	9	3	out-results/global/performance/ts_n06_i09_u1.0000.rt-app.d/rt-app-task03-3.log	666	61310	370000	64537	370000	370000	7	1.4	159	0	0.0	292772	307574	81	58819896
6	1.0	9	4	out-results/global/performance/ts_n06_i09_u1.0000.rt-app.d/rt-app-task04-4.log	104	9652	130000	11652	130000	130000	7	1.4	453	0	0.0	119876	120063	0	58889956
6	1.0	9	5	out-results/global/performance/ts_n06_i09_u1.0000.rt-app.d/rt-app-task05-5.log	663	61068	170000	64283	170000	170000	5	1.4	347	0	0.0	107480	107845	0	58989957
6	1.15	0	0	out-results/global/performance/ts_n06_i00_u1.1500.rt-app.d/rt-app-task00-0.log	4166	383342	1150000	403518	1150000	1150000	6	1.4	51	0	0.0	710790	759788	32	58649976
6	1.15	0	1	out-results/global/performance/ts_n06_i00_u1.1500.rt-app.d/rt-app-task01-1.log	307	28301	100000	30301	100000	100000	5	1.4	590	0	0.0	70932	71122	0	58999953
6	1.15	0	2	out-results/global/performance/ts_n06_i00_u1.1500.rt-app.d/rt-app-task02-2.log	414	38098	910000	40104	910000	910000	7	1.4	64	0	0.0	830152	871178	23	58199125
6	1.15	0	3	out-results/global/performance/ts_n06_i00_u1.1500.rt-app.d/rt-app-task03-3.log	502	46195	540000	48627	540000	540000	6	1.4	109	0	0.0	492613	492925	0	58859937
6	1.15	0	4	out-results/global/performance/ts_n06_i00_u1.1500.rt-app.d/rt-app-task04-4.log	433	39914	320000	42015	320000	320000	7	1.4	184	0	0.0	279066	279317	0	58879954
6	1.15	0	5	out-results/global/performance/ts_n06_i00_u1.1500.rt-app.d/rt-app-task05-5.log	279	25683	120000	27683	120000	120000	4	1.4	491	0	0.0	92188	93784	0	58919971
6	1.15	1	0	out-results/global/performance/ts_n06_i01_u1.1500.rt-app.d/rt-app-task00-0.log	59	5466	320000	7466	320000	320000	4	1.4	184	0	0.0	314142	314305	0	58879965
6	1.15	1	1	out-results/global/performance/ts_n06_i01_u1.1500.rt-app.d/rt-app-task01-1.log	127	11709	100000	13709	100000	100000	6	1.4	590	0	0.0	87691	87972	0	58999954
6	1.15	1	2	out-results/global/performance/ts_n06_i01_u1.1500.rt-app.d/rt-app-task02-2.log	8720	802265	1180000	844490	1180000	1180000	4	1.4	50	0	0.0	309804	363949	25	58994180
6	1.15	1	3	out-results/global/performance/ts_n06_i01_u1.1500.rt-app.d/rt-app-task03-3.log	232	21397	400000	23397	400000	400000	7	1.4	147	0	0.0	377891	378080	0	58799967
6	1.15	1	4	out-results/global/performance/ts_n06_i01_u1.1500.rt-app.d/rt-app-task04-4.log	1322	121642	910000	128045	910000	910000	7	1.4	64	0	0.0	764037	786239	26	58239972
6	1.15	1	5	out-results/global/performance/ts_n06_i01_u1.1500.rt-app.d/rt-app-task05-5.log	205	18919	280000	20919	280000	280000	5	1.4	210	0	0.0	260405	260640	0	58799978
6	1.15	2	0	out-results/global/performance/ts_n06_i02_u1.1500.rt-app.d/rt-app-task00-0.log	1571	144564	610000	152173	610000	610000	6	1.4	96	0	0.0	401548	462877	30	58498887
6	1.15	2	1	out-results/global/performance/ts_n06_i02_u1.1500.rt-app.d/rt-app-task01-1.log	925	85135	660000	89616	660000	660000	6	1.4	89	0	0.0	512064	573373	30	58739958
6	1.15	2	2	out-results/global/performance/ts_n06_i02_u1.1500.rt-app.d/rt-app-task02-2.log	185	17069	460000	19069	460000	460000	4	1.4	128	0	0.0	442383	442531	0	58879951
6	1.15	2	3	out-results/global/performance/ts_n06_i02_u1.1500.rt-app.d/rt-app-task03-3.log	178	16385	130000	18385	130000	130000	7	1.4	453	0	0.0	112988	113224	0	58889961
6	1.15	2	4	out-results/global/performance/ts_n06_i02_u1.1500.rt-app.d/rt-app-task04-4.log	649	59743	210000	62888	210000	210000	6	1.4	280	0	0.0	148858	149135	0	58799936
6	1.15	2	5	out-results/global/performance/ts_n06_i02_u1.1500.rt-app.d/rt-app-task05-5.log	285	26241	100000	28241	100000	100000	5	1.4	590	0	0.0	73008	73197	0	58999940
6	1.15	3	0	out-results/global/performance/ts_n06_i03_u1.1500.rt-app.d/rt-app-task00-0.log	264	24318	180000	26318	180000	180000	5	1.4	327	0	0.0	154898	155165	0	58859930
