num_tasks	util	tset_idx	freq	count	misses	miss_ratio	minslack	maxslack	migrations
6	2.35	9	0	1313	10	0.007616146230007616	-105695	324170	204
6	2.5	0	0	1489	0	0.0	26550	825642	85
6	2.5	1	0	1245	2	0.001606425702811245	-58071	616778	98
6	2.5	2	0	1636	0	0.0	42594	471369	143
6	2.5	3	0	1526	0	0.0	30036	770179	176
6	2.5	4	0	1045	0	0.0	67913	602367	119
6	2.5	5	0	1038	0	0.0	52639	1094066	99
6	2.5	6	0	1663	0	0.0	1185	669297	52
6	2.5	7	0	974	1	0.001026694045174538	-7626	634148	181
6	2.5	8	0	965	6	0.0062176165803108805	-216052	851585	172
6	2.5	9	0	1311	12	0.009153318077803204	-120928	309422	215
6	2.6	0	0	1489	0	0.0	48103	822269	62
6	2.6	1	0	1246	1	0.0008025682182985554	-66199	581074	101
6	2.6	2	0	1160	0	0.0	8324	555277	116
6	2.6	3	0	1527	11	0.007203667321545514	-57741	464053	235
6	2.6	4	0	1045	9	0.00861244019138756	-142122	600040	123
6	2.6	5	0	1038	0	0.0	22362	1090174	98
6	2.6	6	0	1663	0	0.0	861	666953	48
6	2.6	7	0	974	6	0.006160164271047228	-167561	614378	189
6	2.6	8	0	965	28	0.029015544041450778	-344649	422377	204
6	2.6	9	0	1311	14	0.010678871090770405	-110364	299573	202
6	2.7	0	0	1489	0	0.0	47381	818819	45
6	2.7	1	0	1245	3	0.0024096385542168677	-237201	545649	111
6	2.7	2	0	1159	2	0.001725625539257981	-9408	544301	135
6	2.7	3	0	1526	29	0.019003931847968544	-127749	457217	254
6	2.7	4	0	1045	12	0.011483253588516746	-148650	597726	140
6	2.7	5	0	1038	2	0.0019267822736030828	-8472	1086449	106
6	2.7	6	0	1663	2	0.0012026458208057728	-388	664600	41
6	2.7	7	0	974	5	0.00513347022587269	-194480	594417	237
6	2.7	8	0	965	41	0.04248704663212435	-468057	419683	240
6	2.7	9	0	1312	21	0.01600609756097561	-120033	289805	226
6	2.8	0	0	1489	0	0.0	44834	815482	53
6	2.8	1	0	1245	8	0.00642570281124498	-109297	510081	103
6	2.8	2	0	1160	0	0.0	8179	533357	135
6	2.8	3	0	1526	35	0.022935779816513763	-119638	450229	255
6	2.8	4	0	1045	14	0.013397129186602871	-69117	595499	122
6	2.8	5	0	1038	26	0.025048169556840076	-546183	444029	129
6	2.8	6	0	1662	0	0.0	5554	662284	47
6	2.8	7	0	974	13	0.013347022587268994	-200792	574526	264
6	2.8	8	0	965	17	0.017616580310880828	-171848	416964	158
6	2.8	9	0	1312	21	0.01600609756097561	-150191	279971	247
6	2.9	0	0	1489	0	0.0	39399	812068	58
6	2.9	1	0	1245	20	0.01606425702811245	-463458	474732	110
6	2.9	2	0	1160	0	0.0	7811	522597	138
6	2.9	3	0	1527	44	0.028814669286182055	-210893	443252	267
6	2.9	4	0	1045	19	0.01818181818181818	-160413	593119	129
6	2.9	5	0	1038	27	0.02601156069364162	-570502	426531	135
6	2.9	6	0	1663	0	0.0	3763	660019	47
6	2.9	7	0	974	0	0.0	9692	612094	75
6	2.9	8	0	966	57	0.059006211180124224	-457830	366588	218
6	2.9	9	0	1311	28	0.02135774218154081	-159695	270054	262
6	3.0	0	0	1489	0	0.0	40507	808695	90
6	3.0	1	0	1245	23	0.018473895582329317	-464377	460255	97
6	3.0	2	0	1159	0	0.0	8026	511565	127
6	3.0	3	0	1523	215	0.14116874589625739	-690589	436389	237
6	3.0	4	0	1045	48	0.045933014354066985	-152760	590874	198
6	3.0	5	0	1038	35	0.03371868978805395	-601643	325691	142
6	3.0	6	0	1662	0	0.0	5452	657679	61
6	3.0	7	0	974	0	0.0	6928	495258	104
6	3.0	8	0	965	48	0.049740932642487044	-283737	418432	208
6	3.0	9	0	1311	36	0.02745995423340961	-191813	267495	299
6	3.1	0	0	1489	1	0.000671591672263264	-60509	805335	89
6	3.1	1	0	1245	23	0.018473895582329317	-253648	424677	108
6	3.1	2	0	1160	0	0.0	7905	500635	156
6	3.1	3	0	1525	193	0.12655737704918033	-532562	199835	270
6	3.1	4	0	1045	51	0.04880382775119617	-302924	588633	182
6	3.1	5	0	1038	49	0.04720616570327553	-694569	312795	151
6	3.1	6	0	1663	1	0.0006013229104028864	-5152	655382	73
6	3.1	7	0	974	0	0.0	10816	490840	121
6	3.1	8	0	965	111	0.11502590673575129	-870832	389765	211
6	3.1	9	0	1311	47	0.03585049580472922	-172200	257584	320
6	3.2	0	0	1489	2	0.001343183344526528	-95857	801902	98
6	3.2	1	0	1246	37	0.02969502407704655	-699736	388970	133
6	3.2	2	0	1160	0	0.0	7722	355582	175
6	3.2	3	0	1525	393	0.2577049180327869	-698006	193052	291
6	3.2	4	0	1045	59	0.05645933014354067	-316954	586263	187
6	3.2	5	0	1038	68	0.06551059730250482	-759072	299693	168
6	3.2	6	0	1663	3	0.0018039687312086591	-37710	653068	82
6	3.2	7	0	974	0	0.0	6795	486406	145
6	3.2	8	0	965	107	0.11088082901554404	-675785	361021	231
6	3.2	9	0	1312	22	0.01676829268292683	-195196	320762	124
6	3.3	0	0	1490	90	0.06040268456375839	-810021	798530	127
6	3.3	1	0	1244	61	0.04903536977491962	-526468	353215	144
