#idx     perf      run   period           start             end          rel_st      slack c_duration   c_period     wu_lat   cpu       freq dl_runtime  dl_period dl_deadline
   3    11101  1031692  1110962     37943616660     37944727622         1897968      70363    1021293    1190000         55     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031642  1378242     37944727631     37946105873         3008939    -188307    1021293    1190000          0     6    1400000 1075046000 1190000000 1190000000
   3    11101  1031570  1296814     37946105883     37947402696         4387191    -295130    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031544  1040579     37947402706     37948443285         5684014    -145718    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031667  1066800     37948443294     37949510094         6724602     -22527    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031692  1219439     37949510103     37950729541         7791411     -51975    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031576  1138053     37950729551     37951867604         9010859      97504    1021293    1190000         37     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031570  1348588     37951867613     37953216201        10148921    -158634    1021293    1190000          0     6    1400000 1075046000 1190000000 1190000000
   3    11101  1031528  1040975     37953216210     37954257185        11497518      -9619    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031544  1622665     37954257194     37955879860        12538502    -442294    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031539  1297686     37955879869     37957177555        14161177    -549989    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031531  1040827     37957177564     37958218391        15458872    -400825    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031537  1041170     37958218400     37959259570        16499708    -252004    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031533  1040711     37959259579     37960300290        17540886    -102724    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031548  1087313     37960300299     37961387612        18581607      46315    1021293    1190000         45     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031542  1449149     37961387621     37962836770        19668929    -259204    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031578  1066799     37962836779     37963903578        21118087    -136012    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031542  1054037     37963903588     37964957625        22184896      13074    1021293    1190000         58     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031737  1289336     37964957635     37966246971        23238943     -99405    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031561  1339530     37966246980     37967586511        24528288    -248945    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031572  1271856     37967586520     37968858376        25867828    -330810    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031570  1041156     37968858385     37969899541        27139693    -181975    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031541  1040837     37969899551     37970940388        28180859     -32822    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031610  1157186     37970940436     37972097623        29221744      37228    1021293    1190000         55     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031568  1494082     37972097632     37973591714        30378940    -304148    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031514  1040570     37973591723     37974632293        31873031    -154726    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031550  1041100     37974632302     37975673402        32913610      -5836    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031544  1379498     37975673411     37977052909        33954719    -195343    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031534  1040707     37977052918     37978093625        35334226     -46058    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031562  1144031     37978093634     37979237665        36374942       7812    1021293    1190000         97     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031884  1569398     37979237676     37980807074        37518984    -379507    1021293    1190000          0     7    1200000 1075046000 1190000000 1190000000
   3    11101  1031597  1271960     37980807083     37982079043        39088391    -461476    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031568  1041331     37982079052     37983120383        40360360    -312817    1021293    1190000          0     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031564  1066061     37983120392     37984186453        41401700    -188887    1021293    1190000          0     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031675  1040390     37984186463     37985226852        42467770     -39286    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031719  1150766     37985226861     37986377627        43508169      84160    1021293    1190000         59     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031597  1103946     37986463671     37987567618        44744979      43987    1021293    1190000         50     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031768  1190003     37987567627     37988757630        45848935     146813    1021293    1190000         63     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031681  1189982     37988757640     37989947621        47038948      51869    1021293    1190000         54     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031691  1877276     37989947630     37991824907        48228938     123488    1021293    1190000     687340     6    1400000 1075046000 1190000000 1190000000
   3    11101  1031532  1040742     37991824916     37992865658        50106224    -538092    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031529  1040623     37992865668     37993906291        51146976    -388725    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031565  1294544     37993906300     37995200844        52187608    -493278    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031541  1040820     37995200853     37996241673        53482161    -344107    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031535  1041016     37996241682     37997282698        54522990    -195132    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031548  1041020     37997282707     37998323728        55564015     -46161    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031556  1143872     37998323736     37999467609        56605044     102762    1021293    1190000         41     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031620  1189963     37999467663     38000657626        57748971     149590    1021293    1190000         58     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031940  1189988     38000657636     38001847624        58938944      97398    1021293    1190000         56     5    1300000 1075046000 1190000000 1190000000
   3    11101  1031729  1167217     38001913039     38003080255        60194347     -42689    1021293    1190000          0     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031628  1155705     38003080265     38004235970        61361573      -8403    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031546  1457655     38004235979     38005693634        62517287    -276067    1021293    1190000          0     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031552  1262639     38005693643     38006956282        63974951    -348716    1021293    1190000          0     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031553  1040979     38006956291     38007997271        65237599    -199704    1021293    1190000          0     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031534  1040838     38007997280     38009038118        66278588     -50552    1021293    1190000          0     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031565  1139497     38009038127     38010177625        67319435      98117    1021293    1190000         57     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031557  1189986     38010177634     38011367620        68458942     149207    1021293    1190000         53     7    1400000 1075046000 1190000000 1190000000
   3    11101  1031730  1268909     38011367629     38012636539        69648937     149278    1021293    1190000      78972     6    1400000 1075046000 1190000000 1190000000
   3    11101  1031645  1349610     38012636548     38013986157        70917856    -238591    1021293    1190000          0     5    1400000 1075046000 1190000000 1190000000
   3    11101  1031571  1436209     38013986167     38015422376        72267475    -484809    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031548  1040942     38015422385     38016463327        73703693    -335761    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031545  1214460     38016463336     38017677795        74744644    -360229    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031526  1040427     38017677804     38018718231        75959112    -210665    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031589  1067202     38018718240     38019785442        76999548     -87876    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031486  1452781     38019785451     38021238232        78066759    -350666    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031453  1041286     38021238241     38022279527        79519549    -201961    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031447  1041313     38022279536     38023320849        80560844     -53282    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031462  1156608     38023320857     38024477465        81602165     -19899    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031452  1338967     38024477474     38025816441        82758782    -168875    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031463  1120288     38025816450     38026936738        84097758     -99171    1021293    1190000          0     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031431  1090836     38026936782     38028027618        85218090      49534    1021293    1190000         51     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031634  1189997     38028027627     38029217625        86308935      59191    1021293    1190000         57     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031647  1189983     38029217634     38030407618        87498942      86122    1021293    1190000         50     4    1400000 1075046000 1190000000 1190000000
   3    11101  1031545  1394023     38030407627     38031801649        88688935    -204083    1021293    1190000          0     7    1400000 1075046000 1190000000 1190000000
