num_tasks	util	tset_idx	freq	count	misses	miss_ratio	minslack	maxslack	migrations
6	2.35	8	0	965	359	0.37202072538860104	-458563	855663	0
6	2.35	9	0	1310	263	0.20076335877862594	-347574	324101	74
6	2.5	0	0	1489	0	0.0	29911	740147	0
6	2.5	1	0	1245	0	0.0	64878	479298	0
6	2.5	2	0	1636	0	0.0	30806	315955	0
6	2.5	3	0	1527	0	0.0	18795	770132	0
6	2.5	4	0	1045	0	0.0	82969	602363	0
6	2.5	5	0	1038	0	0.0	73275	1094068	0
6	2.5	6	0	1663	3	0.0018039687312086591	-47281	669291	871
6	2.5	7	0	973	0	0.0	50319	438018	0
6	2.5	8	0	957	664	0.6938349007314525	-838068	851505	0
6	2.5	9	0	1268	620	0.4889589905362776	-4139088	309248	22
6	2.6	0	0	1490	0	0.0	37811	760570	0
6	2.6	1	0	1245	0	0.0	58680	304756	0
6	2.6	2	0	1159	1	0.0008628127696289905	-7135	555199	545
6	2.6	3	0	1526	0	0.0	40443	332439	0
6	2.6	4	0	1046	0	0.0	67251	600020	0
6	2.6	5	0	1038	0	0.0	48704	853100	0
6	2.6	6	0	1663	5	0.003006614552014432	-8513	666927	815
6	2.6	7	0	974	0	0.0	48685	442688	0
6	2.6	8	0	917	822	0.8964013086150491	-3734658	422362	0
6	2.6	9	0	1309	138	0.10542398777692895	-846962	299467	19
6	2.7	0	0	1490	0	0.0	35898	790859	0
6	2.7	1	0	1245	0	0.0	39625	545731	0
6	2.7	2	0	1160	0	0.0	4814	544344	520
6	2.7	3	0	1526	0	0.0	32531	450092	0
6	2.7	4	0	1045	0	0.0	59990	592895	0
6	2.7	5	0	1038	0	0.0	34309	1086312	0
6	2.7	6	0	1663	2	0.0012026458208057728	-9587	664658	852
6	2.7	7	0	974	0	0.0	43126	443094	0
6	2.7	8	0	901	840	0.9322974472807991	-4677569	419650	0
6	2.7	9	0	1247	635	0.5092221331194867	-5391892	269663	16
6	2.8	0	0	1490	0	0.0	38076	705920	0
6	2.8	1	0	1245	0	0.0	44334	510227	0
6	2.8	2	0	1159	0	0.0	6736	533317	534
6	2.8	3	0	1526	0	0.0	17854	284083	0
6	2.8	4	0	1045	0	0.0	57343	595454	0
6	2.8	5	0	1039	1	0.0009624639076034649	-56	444042	0
6	2.8	6	0	1662	3	0.0018050541516245488	-24325	662293	859
6	2.8	7	0	973	0	0.0	43109	574589	0
6	2.8	8	0	937	775	0.8271077908217717	-1934372	416910	0
6	2.8	9	0	1239	618	0.49878934624697335	-5963975	279843	12
6	2.9	0	0	1490	0	0.0	40456	577434	0
6	2.9	1	0	1245	0	0.0	53890	362913	0
6	2.9	2	0	1160	4	0.0034482758620689655	-80128	522432	584
6	2.9	3	0	1526	2	0.001310615989515072	-29232	354225	0
6	2.9	4	0	1045	0	0.0	86986	593084	0
6	2.9	5	0	1038	0	0.0	57522	402304	0
6	2.9	6	0	1663	9	0.005411906193625977	-26568	660061	910
6	2.9	7	0	975	17	0.017435897435897435	-102408	612133	535
6	2.9	8	0	883	858	0.9716874292185731	-5761439	366500	0
6	2.9	9	0	1241	634	0.5108783239323127	-5774923	269967	6
6	3.0	0	0	1490	0	0.0	37235	686895	0
6	3.0	1	0	1245	0	0.0	40395	460334	0
6	3.0	2	0	1160	3	0.002586206896551724	-49984	511515	574
6	3.0	3	0	1526	0	0.0	35473	434968	0
6	3.0	4	0	1046	0	0.0	87061	590772	0
6	3.0	5	0	1038	0	0.0	79988	298810	0
6	3.0	6	0	1663	27	0.016235718580877932	-84847	657692	981
6	3.0	7	0	974	24	0.024640657084188913	-125132	495100	535
6	3.0	8	0	886	853	0.9627539503386005	-5605126	394389	0
6	3.0	9	0	1239	634	0.5117029862792575	-5981005	216138	9
6	3.1	0	0	1489	0	0.0	37147	688622	0
6	3.1	1	0	1245	0	0.0	44056	424721	0
6	3.1	2	0	1160	1	0.0008620689655172414	-11601	500575	632
6	3.1	3	0	1526	0	0.0	32660	199969	0
6	3.1	4	0	1045	0	0.0	83532	588472	0
6	3.1	5	0	1039	0	0.0	54961	312693	0
6	3.1	6	0	1662	70	0.0421179302045728	-155467	655402	1044
6	3.1	7	0	974	16	0.01642710472279261	-131767	490802	514
6	3.1	8	0	894	873	0.9765100671140939	-4924918	389440	0
6	3.1	9	0	1191	567	0.4760705289672544	-24284448	196103	2
6	3.2	0	0	1490	0	0.0	32407	556732	0
6	3.2	1	0	1245	0	0.0	40321	300819	0
6	3.2	2	0	1159	7	0.0060396893874029335	-65702	355603	635
6	3.2	3	0	1526	0	0.0	33886	193052	0
6	3.2	4	0	1045	0	0.0	80091	586146	0
6	3.2	5	0	1039	5	0.004812319538017324	-635349	299720	2
6	3.2	6	0	1663	123	0.07396271797955502	-160280	653042	855
6	3.2	7	0	974	23	0.023613963039014373	-138851	486390	523
6	3.2	8	0	890	826	0.9280898876404494	-5181891	282363	0
6	3.2	9	0	1178	1141	0.9685908319185059	-6470281	320541	3
6	3.3	0	0	1489	23	0.01544660846205507	-170758	741171	423
6	3.3	1	0	1245	0	0.0	21698	333371	0
6	3.3	2	0	1159	8	0.006902502157031924	-72837	337109	649
6	3.3	3	0	1526	0	0.0	29427	185843	0
6	3.3	4	0	1045	2	0.0019138755980861245	-108769	583889	6
6	3.3	5	0	1039	0	0.0	72650	294573	0
6	3.3	6	0	1661	109	0.06562311860325105	-313622	502578	852
6	3.3	7	0	974	45	0.04620123203285421	-147240	481992	554
6	3.3	8	0	851	824	0.9682726204465335	-7539768	250243	0
6	3.3	9	0	1198	1172	0.9782971619365609	-8200165	310677	0
6	3.4	0	0	1489	57	0.038280725319006045	-450187	691764	407
6	3.4	1	0	1245	0	0.0	32522	317541	0
6	3.4	2	0	1158	35	0.030224525043177894	-193548	325718	584
6	3.4	3	0	1526	81	0.05307994757536042	-347269	179218	471
6	3.4	4	0	1045	4	0.003827751196172249	-190255	376025	2
6	3.4	5	0	1038	0	0.0	70213	252486	0
6	3.4	6	0	1662	117	0.0703971119133574	-348870	482049	817
6	3.4	7	0	974	79	0.0811088295687885	-192765	477552	553
6	3.4	8	0	842	815	0.9679334916864608	-7779879	244350	0
6	3.4	9	0	1165	1148	0.9854077253218884	-8905823	283990	6
6	3.5	0	0	1489	60	0.040295500335795834	-310847	681794	354
6	3.5	1	0	1245	0	0.0	29129	298778	0
6	3.5	2	0	1158	72	0.06217616580310881	-208417	323182	552
6	3.5	3	0	1421	208	0.14637579169598874	-23257460	172407	100
6	3.5	4	0	1005	318	0.3164179104477612	-11829157	574200	26
6	3.5	5	0	1038	0	0.0	38625	268275	0
6	3.5	6	0	1662	221	0.13297232250300842	-387384	467477	741
6	3.5	7	0	973	131	0.13463514902363824	-189813	626674	507
