num_tasks	util	tset_idx	idx	filename	perf	c_duration	c_period	dl_runtime	dl_period	dl_deadline	cpu	freq	count	misses	miss_ratio	minslack	maxslack	migrations	tot_duration
12	2.9	5	9	out-results/apedf/schedutil/ts_n12_i05_u2.9000.rt-app.d/rt-app-task09-9.log	89	8236	140000	10236	140000	140000	4	1.4	421	1	0.0023752969121140144	-23582	131422	0	58869032
12	2.9	5	10	out-results/apedf/schedutil/ts_n12_i05_u2.9000.rt-app.d/rt-app-task10-10.log	1960	180387	390000	189882	390000	390000	6	1.4	138	132	0.9565217391304348	-5115296	151710	0	58868888
12	2.9	5	11	out-results/apedf/schedutil/ts_n12_i05_u2.9000.rt-app.d/rt-app-task11-11.log	210	19328	380000	21328	380000	380000	4	1.4	148	134	0.9054054054054054	-2779045	344688	0	58890288
12	2.9	6	0	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task00-0.log	83	7695	100000	9695	100000	100000	5	1.1	590	0	0.0	90642	92062	0	58999916
12	2.9	6	1	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task01-1.log	200	18438	600000	20438	600000	600000	4	1.4	97	59	0.6082474226804123	-644303	563897	0	57994233
12	2.9	6	2	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task02-2.log	53	4940	1100000	6940	1100000	1100000	5	1.4	54	0	0.0	417757	1084734	0	58975349
12	2.9	6	3	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task03-3.log	1802	165790	250000	174516	250000	250000	6	1.1	228	214	0.9385964912280702	-1783313	80975	0	58783195
12	2.9	6	4	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task04-4.log	154	14174	370000	16174	370000	370000	4	1.4	158	62	0.3924050632911392	-130410	355427	0	58720614
12	2.9	6	5	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task05-5.log	2129	195885	380000	206195	380000	380000	4	1.4	150	140	0.9333333333333333	-1973747	160809	0	58879837
12	2.9	6	6	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task06-6.log	3300	303613	720000	319593	720000	720000	5	1.4	79	74	0.9367088607594937	-1784857	304907	0	58534419
12	2.9	6	7	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task07-7.log	3920	360640	970000	379622	970000	970000	7	1.1	59	55	0.9322033898305084	-1295010	601846	0	58524919
12	2.9	6	8	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task08-8.log	181	16736	120000	18736	120000	120000	4	1.1	424	330	0.7783018867924528	-7918618	102840	0	58718582
12	2.9	6	9	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task09-9.log	1109	102032	420000	107403	420000	420000	5	1.4	136	127	0.9338235294117647	-1848414	298156	0	58905806
12	2.9	6	10	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task10-10.log	103	9476	190000	11476	190000	190000	5	1.4	310	0	0.0	169287	180259	0	58900613
12	2.9	6	11	out-results/apedf/schedutil/ts_n12_i06_u2.9000.rt-app.d/rt-app-task11-11.log	652	60033	370000	63193	370000	370000	4	1.4	154	145	0.9415584415584416	-2015420	294157	0	58785324
12	2.9	7	0	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task00-0.log	5935	546080	670000	574822	670000	670000	6	1.3	80	75	0.9375	-4925171	112986	0	58525041
12	2.9	7	1	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task01-1.log	464	42716	180000	44965	180000	180000	7	1.3	299	286	0.9565217391304348	-5053491	136365	0	58873366
12	2.9	7	2	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task02-2.log	2975	273787	890000	288197	890000	890000	4	1.4	60	56	0.9333333333333333	-4828503	297092	0	58160358
12	2.9	7	3	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task03-3.log	139	12853	120000	14853	120000	120000	5	1.3	485	410	0.845360824742268	-727001	106795	0	58926302
12	2.9	7	4	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task04-4.log	29	2687	240000	4687	240000	240000	5	1.4	245	0	0.0	148143	224963	0	58746367
12	2.9	7	5	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task05-5.log	1198	110273	340000	116077	340000	340000	5	1.4	159	151	0.949685534591195	-4919688	173351	0	58893732
12	2.9	7	6	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task06-6.log	307	28271	180000	30271	180000	180000	5	1.4	304	285	0.9375	-4181756	151045	0	58876158
12	2.9	7	7	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task07-7.log	87	8056	100000	10056	100000	100000	4	1.3	590	0	0.0	58481	91686	0	58999919
12	2.9	7	8	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task08-8.log	629	57939	130000	60989	130000	130000	4	1.4	414	397	0.9589371980676329	-4999137	70851	0	58810160
12	2.9	7	9	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task09-9.log	313	28832	320000	30832	320000	320000	5	1.4	171	162	0.9473684210526315	-4300425	279567	0	58961661
12	2.9	7	10	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task10-10.log	490	45106	670000	47481	670000	670000	5	1.4	81	76	0.9382716049382716	-4834315	623907	0	58836777
12	2.9	7	11	out-results/apedf/schedutil/ts_n12_i07_u2.9000.rt-app.d/rt-app-task11-11.log	115	10580	160000	12580	160000	160000	5	1.4	368	113	0.3070652173913043	-15646	149099	0	58866109
12	2.9	8	0	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task00-0.log	1163	107054	320000	112689	320000	320000	4	1.4	166	161	0.9698795180722891	-5868728	173234	0	58927510
12	2.9	8	1	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task01-1.log	793	73022	890000	76866	890000	890000	5	1.4	60	59	0.9833333333333333	-5739694	472399	0	58796639
12	2.9	8	2	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task02-2.log	1024	94258	1010000	99219	1010000	1010000	7	1.4	53	51	0.9622641509433962	-5144037	895362	0	58650319
12	2.9	8	3	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task03-3.log	329	30318	140000	32318	140000	140000	4	0.9	383	374	0.9765013054830287	-5336469	109010	0	58956296
12	2.9	8	4	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task04-4.log	3643	335197	850000	352839	850000	850000	5	0.9	62	60	0.967741935483871	-5438990	506958	0	58138829
12	2.9	8	5	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task05-5.log	131	12073	300000	14073	300000	300000	4	1.4	194	184	0.9484536082474226	-764083	287583	0	58792854
12	2.9	8	6	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task06-6.log	472	43448	580000	45735	580000	580000	4	1.4	92	89	0.967391304347826	-5967301	506314	0	58953767
12	2.9	8	7	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task07-7.log	175	16107	190000	18107	190000	190000	4	1.4	296	282	0.9527027027027027	-2694690	173481	0	58869527
12	2.9	8	8	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task08-8.log	2005	184471	490000	194180	490000	490000	6	1.4	108	105	0.9722222222222222	-5883481	120127	0	58744413
12	2.9	8	9	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task09-9.log	616	56732	110000	59718	110000	110000	6	0.9	482	471	0.9771784232365145	-5951856	52117	0	58971704
12	2.9	8	10	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task10-10.log	183	16913	120000	18913	120000	120000	7	0.9	466	445	0.9549356223175965	-2898279	102628	0	58818186
12	2.9	8	11	out-results/apedf/schedutil/ts_n12_i08_u2.9000.rt-app.d/rt-app-task11-11.log	4372	402244	1060000	423415	1060000	1060000	5	1.4	50	48	0.96	-5715581	418634	0	58075593
12	2.9	9	0	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task00-0.log	2447	225199	420000	237052	420000	420000	5	1.4	126	120	0.9523809523809523	-5675291	183308	2	58588136
12	2.9	9	1	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task01-1.log	409	37680	930000	39680	930000	930000	5	1.4	57	55	0.9649122807017544	-5816699	513228	0	58240988
12	2.9	9	2	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task02-2.log	516	47488	150000	49988	150000	150000	4	1.4	354	340	0.96045197740113	-5858499	101535	1	58951326
12	2.9	9	3	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task03-3.log	424	39098	180000	41156	180000	180000	4	1.4	295	284	0.9627118644067797	-5834012	140054	1	58837514
12	2.9	9	4	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task04-4.log	950	87473	670000	92077	670000	670000	5	1.4	80	77	0.9625	-5448001	551471	1	58797539
12	2.9	9	5	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task05-5.log	73	6772	250000	8772	250000	250000	5	1.4	235	0	0.0	166477	243009	2	58749959
12	2.9	9	6	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task06-6.log	648	59679	350000	62821	350000	350000	4	1.4	152	145	0.9539473684210527	-5737859	200536	1	58842246
12	2.9	9	7	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task07-7.log	885	81441	920000	85728	920000	920000	5	1.4	58	56	0.9655172413793104	-5832730	673145	0	58780904
12	2.9	9	8	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task08-8.log	363	33486	320000	35486	320000	320000	6	1.4	166	159	0.9578313253012049	-5497250	285715	0	58617126
12	2.9	9	9	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task09-9.log	1505	138527	150000	145818	150000	150000	7	1.4	354	342	0.9661016949152542	-5820681	8831	12	58920558
12	2.9	9	10	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task10-10.log	73	6792	140000	8792	140000	140000	4	1.4	421	0	0.0	107980	132995	3	58939933
12	2.9	9	11	out-results/apedf/schedutil/ts_n12_i09_u2.9000.rt-app.d/rt-app-task11-11.log	563	51877	390000	54608	390000	390000	4	1.4	136	130	0.9558823529411765	-5512659	337037	2	58300582
12	3.0	0	0	out-results/apedf/schedutil/ts_n12_i00_u3.0000.rt-app.d/rt-app-task00-0.log	206	19043	280000	21043	280000	280000	4	1.4	203	179	0.8817733990147784	-1716067	260309	2	58555975
12	3.0	0	1	out-results/apedf/schedutil/ts_n12_i00_u3.0000.rt-app.d/rt-app-task01-1.log	546	50256	1090000	52902	1090000	1090000	4	1.4	51	46	0.9019607843137255	-3415881	1034692	2	58319165
12	3.0	0	2	out-results/apedf/schedutil/ts_n12_i00_u3.0000.rt-app.d/rt-app-task02-2.log	778	71662	420000	75434	420000	420000	4	1.4	131	119	0.9083969465648855	-3927863	341930	0	58928157
12	3.0	0	3	out-results/apedf/schedutil/ts_n12_i00_u3.0000.rt-app.d/rt-app-task03-3.log	111	10228	110000	12228	110000	110000	5	1.4	536	0	0.0	96470	99498	3	58959899
12	3.0	0	4	out-results/apedf/schedutil/ts_n12_i00_u3.0000.rt-app.d/rt-app-task04-4.log	907	83482	370000	87876	370000	370000	5	1.4	148	134	0.9054054054054054	-4079591	278236	3	58792114
12	3.0	0	5	out-results/apedf/schedutil/ts_n12_i00_u3.0000.rt-app.d/rt-app-task05-5.log	339	31223	310000	33223	310000	310000	5	1.4	179	162	0.9050279329608939	-3516517	278041	3	58916336
12	3.0	0	6	out-results/apedf/schedutil/ts_n12_i00_u3.0000.rt-app.d/rt-app-task06-6.log	1665	153245	940000	161311	940000	940000	4	1.4	59	53	0.8983050847457628	-3830541	739714	2	58909189
